"p","freq","Release","className","graph","Count"
"<http://data.linkedevents.org/def/location#businessType>",605,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://data.linkedevents.org/def/location#cell>",613,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://linkedevents.org/ontology/atPlace>",598,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://linkedevents.org/ontology/atTime>",605,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://linkedevents.org/ontology/hasCategory>",508,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://linkedevents.org/ontology/inSpace>",605,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://linkedevents.org/ontology/involvedAgent>",7,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://linkedevents.org/ontology/poster>",605,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://purl.org/dc/elements/1.1/description>",575,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://purl.org/dc/elements/1.1/issued>",605,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://purl.org/dc/elements/1.1/publisher>",605,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://purl.org/dc/elements/1.1/subject>",1247,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://www.3cixty.com/ontology#descriptionScore>",605,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://www.3cixty.com/ontology#posterScore>",605,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>",1210,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://www.w3.org/2000/01/rdf-schema#label>",605,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://www.w3.org/2000/01/rdf-schema#seeAlso>",99,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
"<http://www.w3.org/2002/07/owl#sameAs>",605,"2016-03-11","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",605
